hop_avg,hop_host,hop_stdev,trace_time,hop_wrst,hop_loss,hop_best
26.0,angus.amuri.net,16.2,2016-02-10 16:25:29+13,69.8,0.0,11.0
41.2,angus.amuri.net,51.4,2016-02-10 16:31:47+13,166.7,0.0,10.7
25.3,angus.amuri.net,12.6,2016-02-10 16:38:05+13,57.4,0.0,13.1
16.1,angus.amuri.net,3.0,2016-02-10 16:44:24+13,23.5,0.0,12.3
22.3,angus.amuri.net,11.2,2016-02-10 16:50:43+13,51.2,5.0,11.8
17.7,angus.amuri.net,5.2,2016-02-10 16:57:01+13,26.9,0.0,12.0
17.7,angus.amuri.net,5.2,2016-02-10 16:57:01+13,26.9,0.0,12.0
19.7,angus.amuri.net,10.1,2016-02-10 17:03:19+13,58.7,0.0,12.1
19.7,angus.amuri.net,10.1,2016-02-10 17:03:19+13,58.7,0.0,12.1
20.1,angus.amuri.net,6.1,2016-02-10 17:09:37+13,32.6,10.0,13.2
23.4,angus.amuri.net,10.8,2016-02-10 17:15:55+13,57.4,0.0,12.7
22.2,angus.amuri.net,11.3,2016-02-10 17:22:13+13,65.7,0.0,14.5
21.9,angus.amuri.net,9.4,2016-02-10 17:28:31+13,45.1,0.0,13.1
18.6,angus.amuri.net,4.3,2016-02-10 17:34:50+13,28.3,0.0,12.7
21.3,angus.amuri.net,10.5,2016-02-10 17:41:08+13,46.7,0.0,12.2
20.2,angus.amuri.net,6.9,2016-02-10 17:47:26+13,35.1,0.0,11.9
19.8,angus.amuri.net,8.1,2016-02-10 17:53:44+13,45.0,0.0,13.4
21.6,angus.amuri.net,8.5,2016-02-10 18:00:04+13,43.1,5.0,13.5
21.3,angus.amuri.net,12.1,2016-02-10 18:06:22+13,64.8,5.0,11.6
18.2,angus.amuri.net,3.9,2016-02-10 18:12:40+13,27.0,0.0,13.1
21.1,angus.amuri.net,7.5,2016-02-10 18:18:58+13,47.0,0.0,11.9
22.8,angus.amuri.net,8.7,2016-02-10 18:25:16+13,45.5,5.0,11.9
18.7,angus.amuri.net,4.1,2016-02-10 18:31:34+13,25.6,0.0,12.5
30.0,angus.amuri.net,17.7,2016-02-10 18:37:52+13,96.4,0.0,14.5
25.5,angus.amuri.net,15.3,2016-02-10 18:44:10+13,74.7,0.0,12.7
41.3,angus.amuri.net,30.3,2016-02-10 18:50:29+13,140.4,0.0,16.2
20.6,angus.amuri.net,10.6,2016-02-10 18:56:47+13,61.3,0.0,14.4
23.0,angus.amuri.net,11.3,2016-02-10 19:03:05+13,59.2,5.0,12.1
36.3,angus.amuri.net,23.0,2016-02-10 19:09:23+13,99.2,0.0,13.2
25.2,angus.amuri.net,13.4,2016-02-10 19:15:42+13,62.9,0.0,13.1
23.4,angus.amuri.net,9.5,2016-02-10 19:22:00+13,46.9,0.0,12.5
19.1,angus.amuri.net,11.2,2016-02-10 19:28:18+13,58.0,5.0,10.2
24.9,angus.amuri.net,17.7,2016-02-10 19:34:36+13,76.4,15.0,12.7
19.0,angus.amuri.net,7.0,2016-02-10 19:40:55+13,39.4,0.0,11.6
22.5,angus.amuri.net,9.7,2016-02-10 19:47:13+13,47.9,5.0,12.5
133.3,angus.amuri.net,97.4,2016-02-10 19:53:34+13,391.4,5.0,13.5
56.9,angus.amuri.net,32.9,2016-02-10 19:59:54+13,145.6,0.0,14.2
34.4,angus.amuri.net,21.1,2016-02-10 20:06:14+13,102.3,0.0,14.9
41.8,angus.amuri.net,36.5,2016-02-10 20:12:33+13,158.1,5.0,15.8
57.9,angus.amuri.net,87.9,2016-02-10 20:18:53+13,420.2,0.0,16.4
73.8,angus.amuri.net,47.6,2016-02-10 20:25:13+13,168.2,0.0,14.7
54.2,angus.amuri.net,55.1,2016-02-10 20:31:33+13,230.5,0.0,15.2
70.1,angus.amuri.net,53.7,2016-02-10 20:37:54+13,188.7,0.0,17.4
69.2,angus.amuri.net,53.2,2016-02-10 20:44:14+13,201.9,0.0,17.4
97.9,angus.amuri.net,72.2,2016-02-10 20:50:33+13,266.0,0.0,18.5
54.4,angus.amuri.net,35.5,2016-02-10 20:56:54+13,126.9,0.0,16.5
22.0,angus.amuri.net,6.8,2016-02-10 21:03:13+13,36.0,0.0,15.3
55.6,angus.amuri.net,33.5,2016-02-10 21:09:31+13,129.4,0.0,14.6
21.6,angus.amuri.net,9.6,2016-02-10 21:15:49+13,53.6,0.0,11.8
24.0,angus.amuri.net,11.0,2016-02-10 21:22:08+13,49.0,5.0,14.3
42.2,angus.amuri.net,29.0,2016-02-10 21:28:26+13,110.6,0.0,12.1
28.6,angus.amuri.net,17.0,2016-02-10 21:34:45+13,68.9,5.0,13.1
20.0,angus.amuri.net,6.8,2016-02-10 21:41:03+13,43.8,5.0,13.6
32.8,angus.amuri.net,14.7,2016-02-10 21:47:22+13,54.5,5.0,13.8
23.3,angus.amuri.net,14.1,2016-02-10 21:53:40+13,68.2,0.0,10.6
20.9,angus.amuri.net,9.1,2016-02-10 21:59:58+13,42.6,0.0,12.1
24.0,angus.amuri.net,7.9,2016-02-10 22:06:19+13,31.8,80.0,14.1
0.0,???,0.0,2016-02-10 22:12:38+13,0.0,100.0,0.0
0.0,???,0.0,2016-02-10 22:18:58+13,0.0,100.0,0.0
41.2,angus.amuri.net,41.3,2016-02-10 22:25:16+13,162.6,0.0,13.1
