13974;1037189;WESTPORT FUTURES FUND L.P.;8-K;03.03.2015;edgar/data/1037189/0001037189-15-000002.txt;
14820;1039399;FORMFACTOR INC;4/A;03.03.2015;edgar/data/1039399/0001590177-15-000004.txt;
14884;1039684;ONEOK INC /NEW/;8-K;03.03.2015;edgar/data/1039684/0001039684-15-000021.txt;
15017;1040188;VICTORY CAPITAL MANAGEMENT INC;APP ORDR;03.03.2015;edgar/data/1040188/9999999997-15-002089.txt;
15319;1040829;Ryman Hospitality Properties, Inc.;8-K;03.03.2015;edgar/data/1040829/0001193125-15-074571.txt;
15396;1041024;ROCKWELL MEDICAL, INC.;10-K;03.03.2015;edgar/data/1041024/0001047469-15-001577.txt;
15579;1041550;HOPFED BANCORP INC;8-K;03.03.2015;edgar/data/1041550/0001193125-15-074928.txt;
15705;1041844;RIT TECHNOLOGIES LTD;6-K;03.03.2015;edgar/data/1041844/0001178913-15-000760.txt;
15856;1042074;CymaBay Therapeutics, Inc.;8-K;03.03.2015;edgar/data/1042074/0001193125-15-075212.txt;
15986;1042810;EQUITY ONE, INC.;3;03.03.2015;edgar/data/1042810/0001042810-15-000056.txt;
16240;1043509;SONIC AUTOMOTIVE INC;DEF 14A;03.03.2015;edgar/data/1043509/0001193125-15-074687.txt;
16241;1043509;SONIC AUTOMOTIVE INC;DEFA14A;03.03.2015;edgar/data/1043509/0001193125-15-074693.txt;
16583;1045008;LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H;N-30D;03.03.2015;edgar/data/1045008/0000726865-15-000094.txt;
16652;1045425;RAIT Financial Trust;8-K;03.03.2015;edgar/data/1045425/0001299933-15-000341.txt;
16718;1045520;CANADIAN IMPERIAL BANK OF COMMERCE /CAN/;UPLOAD;03.03.2015;edgar/data/1045520/0000000000-15-013268.txt;
16972;1046179;TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD;6-K;03.03.2015;edgar/data/1046179/0001193125-15-074429.txt;
16999;1046203;GUARANTY FEDERAL BANCSHARES INC;8-K;03.03.2015;edgar/data/1046203/0001437749-15-003918.txt;
17175;1046568;CAREER EDUCATION CORP;10-K;03.03.2015;edgar/data/1046568/0001193125-15-075170.txt;
17196;1046568;CAREER EDUCATION CORP;8-K;03.03.2015;edgar/data/1046568/0001193125-15-075068.txt;
17244;1046859;REMY INTERNATIONAL, INC.;8-K;03.03.2015;edgar/data/1046859/0001046859-15-000051.txt;
17245;1046859;REMY INTERNATIONAL, INC.;8-K;03.03.2015;edgar/data/1046859/0001046859-15-000052.txt;
17548;104777;ALTEVA, INC.;8-K;03.03.2015;edgar/data/104777/0001104659-15-016274.txt;
17616;1047884;ANWORTH MORTGAGE ASSET CORP;424B5;03.03.2015;edgar/data/1047884/0001193125-15-075249.txt;
17860;1048604;LINCOLN LIFE VARIABLE ANNUITY ACCOUNT Q;N-30D;03.03.2015;edgar/data/1048604/0000726865-15-000094.txt;
17879;1048606;LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N;N-30D;03.03.2015;edgar/data/1048606/0000726865-15-000094.txt;
17901;1048607;LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT M;N-30D;03.03.2015;edgar/data/1048607/0000726865-15-000096.txt;
